"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G70420",142.0746732706,-0.409782189860605,0.413454423208103,1.99005251571194,0.36971373652656,0.58760344722864
"AT5G43820",6.47486463058226,0.969714072626492,0.805912324062007,1.98983697108453,0.36975358357852,0.58761068689342
"AT4G11640",13.8718738619631,0.75762689884747,0.557057443278764,1.98960306624946,0.369796829682831,0.587623326419081
"AT1G29850",303.72368732404,0.203543675672695,0.189179828561618,1.98916664926003,0.369877531296955,0.587657715134097
"AT5G63940",84.1239307609257,0.122514539168917,0.244909297352222,1.9891043104638,0.369889060336657,0.587657715134097
"AT1G12360",1184.68326755085,-0.33660858775161,0.248480657637752,1.98886618598718,0.369933102777951,0.587671611606993
"AT1G53625",578.729741221277,-0.425227839098383,0.557814624136478,1.98846830537931,0.370006704702804,0.587732458815273
"AT1G43580",51.781187047278,-0.239570448446403,0.405104469456279,1.98792995483581,0.370106314763774,0.587834602767991
"AT1G80930",338.028234228168,0.184688804499741,0.19072025705646,1.98771458880063,0.370146171074462,0.587841830254655
"AT5G44820",181.481446595959,0.207633966419861,0.261249549778671,1.98720471216669,0.370240547545928,0.587935633442031
"AT4G15820",11.9328226761686,-0.328603399692632,0.632171875539193,1.98692057079867,0.370293151610424,0.58796309119908
"AT5G57070",34.1735851047277,-0.44389178697581,0.451621295660539,1.9864700456754,0.370376574189951,0.588039473659071
"AT1G66590",77.5468390001725,-0.156685940457737,0.369422014767387,1.98596874997799,0.370469419916788,0.588083730185335
"AT2G06210",131.853286970606,0.21229054772478,0.218118067259387,1.98555682524781,0.370545730532994,0.588083730185335
"AT3G07760",166.648041048879,0.249576700020192,0.246764139361267,1.98562506927991,0.370533086981344,0.588083730185335
"AT5G16880",1288.8698815266,0.0829027459014216,0.161228204347489,1.98567798890454,0.370523282875113,0.588083730185335
"AT4G20320",39.374273384294,-0.713937119185618,0.687549242785866,1.98513378296738,0.370624117078332,0.588152072946457
"AT4G04950",83.2173947106464,0.353280285865744,0.275271002833103,1.98418704344633,0.37079960085896,0.588374473868453
"AT5G54930",27.1889663474249,-0.660492134576397,0.474865056793675,1.98365702417149,0.370897879348536,0.58847433687375
"AT1G70980",94.0452898919415,0.131548300587687,0.27964683671318,1.98337702142916,0.370949809195247,0.588500650128715
"AT1G13580",38.911046356938,0.143162496273647,0.427247160129036,1.98277308723482,0.371061840746396,0.588566223533152
"AT3G01650",64.4814075216354,-0.435201356508413,0.433682557227593,1.98292772932527,0.371033150966203,0.588566223533152
"AT2G26460",83.0084719287319,0.038507029209281,0.28034874178463,1.98220236905149,0.371167741725407,0.58867811961593
"AT5G09880",327.596141625727,-0.0619422315981968,0.170475666557729,1.98186166120564,0.371230976992309,0.588722332309929
"AT4G08580",55.7351390009145,0.440685957111863,0.31327814339715,1.9815540156017,0.371288085173525,0.588756820775162
"AT3G25940",10.3048389699687,0.896893608159126,0.695541767253211,1.98112898338718,0.371366998256912,0.588825875723987
"AT3G62330",163.218161622263,0.257721180408207,0.192207160529809,1.9806953794465,0.371447520082183,0.588897468041168
"AT5G16480",122.759474580422,-0.378883329841272,0.306256221416974,1.98036121276607,0.371509587959663,0.588939792395353
"AT5G16870",27.5731063525777,-0.501976203722211,0.41388446200703,1.97990604422826,0.371594147319456,0.589017760174118
"AT4G35800",578.19659107891,-0.25984937897862,0.373537388547431,1.9795283155012,0.371664334839332,0.58907293432412
"AT4G22160",13.8305500955039,0.857265996667936,0.614398327807139,1.97872916848297,0.371812871735545,0.589252266742511
"AT1G73250",112.22147029989,-0.0490033212442568,0.26627329556734,1.97744549676847,0.372051591169964,0.589574473491948
"AT3G45880",7.64095564098649,0.911980676497345,0.785956656064383,1.97689036725437,0.372154873912638,0.589629556736109
"AT4G04860",94.7965161754118,0.275108420750749,0.249282243390046,1.97670511100844,0.372189347516648,0.589629556736109
"AT5G42560",144.631187321901,0.28166149524748,0.221867090482963,1.97668768150328,0.372192591068859,0.589629556736109
"AT4G15490",136.869469617821,0.43698802306135,0.401086034481144,1.97550341580825,0.37241304378984,0.5899226694987
"AT3G58350",9.12711056956439,-1.03133967046644,0.799431416975313,1.97500123984835,0.372506563969116,0.590014677519576
"AT5G10980",486.06767477169,0.217512936159415,0.178396956820223,1.97479253375707,0.372545438191875,0.590020122314726
"AT1G51650",350.501947763946,0.0518081757879105,0.171704284245153,1.97412974002941,0.372668919041178,0.590118007009024
"AT3G23170",153.785724081605,0.349124443042011,0.425414678853655,1.97408031494834,0.372678128750744,0.590118007009024
"AT5G48335",70.7577432123219,0.436274862597713,0.312456950228435,1.97343136849824,0.372799072445519,0.590197257413511
"AT5G51080",8.4809821609336,0.128010728350428,0.700009202475175,1.97358655536037,0.372770146808624,0.590197257413511
"AT1G17455",28.2351194740135,0.578321704051456,0.437792432566447,1.97233494342446,0.373003501600968,0.590408622650074
"AT3G51800",432.261524204055,0.0711410548080146,0.202189239256787,1.97235326881614,0.373000083898994,0.590408622650074
"AT1G26170",101.097692197383,0.257572714834852,0.246174181152051,1.97168345749913,0.37312502465823,0.590499833996842
"AT3G07740",55.0046065531768,0.226401135702232,0.321137550814363,1.97145567517128,0.373167522721608,0.590499833996842
"AT4G32680",95.9389710408568,0.0814165911663969,0.24405396971744,1.97147110137959,0.373164644452738,0.590499833996842
"AT2G17270",25.004209325909,0.445689371276106,0.479733688742502,1.97056936178757,0.373332931054684,0.590705435908057
"AT1G64520",445.875452962775,0.146342137009302,0.204669892632518,1.97018641614972,0.373404421007364,0.59070628121355
"AT5G08580",35.7286209443821,0.493616549851053,0.401910533367493,1.97028024911189,0.373386902596861,0.59070628121355
"AT2G29525",25.9112605289712,0.741852590956448,0.539973219325599,1.96957883555136,0.373517874880356,0.590829623480708
"AT2G32410",24.8351323900794,-0.0121008462050531,0.444431035507384,1.96873259177377,0.373675951909641,0.591023520404249
"AT3G58970",141.436714547138,0.10580186278295,0.219970444414939,1.9677821131977,0.37385357960747,0.591192145547002
"AT5G01610",51.2724567390862,0.575165015859398,0.412713933100939,1.96785984689009,0.373839049380265,0.591192145547002
"AT1G54630",322.36546999431,0.156660767657396,0.173863942203274,1.96607490088351,0.374172839566623,0.591360016970505
"AT1G68830",748.861515648821,0.184705036632263,0.175558002439533,1.96679262677173,0.374038586890405,0.591360016970505
"AT2G27389",9.82698671765693,0.189177765426365,1.30183813695981,1.96632357165601,0.374126319534195,0.591360016970505
"AT2G42350",45.22586275157,0.211480312970761,0.488372644981639,1.96689590305161,0.374019272732192,0.591360016970505
"AT3G50850",8.67411290999387,-0.749814138289199,0.752785208635599,1.96635250687535,0.37412090685979,0.591360016970505
"AT5G62910",98.6247657210292,-0.0106224942314801,0.259585813266544,1.96608851936386,0.374170291742565,0.591360016970505
"AT3G57660",145.433347972135,-0.0268659049846333,0.360374061218804,1.9655712255275,0.374267082252144,0.591452820757232
"AT4G04910",429.171002821077,-0.0969273860101842,0.243026360478097,1.96407900941222,0.374546430136817,0.59183810019721
"AT2G36850",1254.49237112315,-0.354808996955016,0.284117951426618,1.96385307442199,0.374588744098839,0.591848793817201
"AT5G24830",25.8710575848061,0.259596298928014,0.410780795445473,1.96338091578008,0.374677187194566,0.591932362348375
"AT1G48270",14.1479343896448,0.585212405905919,0.606942544284107,1.96285831979398,0.374775102383585,0.591974713469945
"AT3G01750",25.2295390465655,0.633969147201998,0.486257979237505,1.962946938439,0.3747584967206,0.591974713469945
"AT5G09790",65.7775089184632,-0.555312155353306,0.396441531038407,1.96215955379921,0.374906065308979,0.592125401953566
"AT1G14900",12.2030508980448,0.625278587911656,0.699341181170147,1.96146552414923,0.375036185847191,0.592222003475329
"AT1G18150",260.884804348253,-0.182393694983189,0.180653355449729,1.96145389438215,0.375038366645277,0.592222003475329
"AT4G39940",295.732194692352,-0.392154028265546,0.283569591079286,1.96081236135637,0.375158685690473,0.592355819511273
"AT1G57540",14.1557169895843,-0.378334839032166,0.649700191542009,1.96012872041373,0.375286944528735,0.592370717936807
"AT3G09270",65.7187111410029,-0.275998097053546,0.98353497171285,1.960172747146,0.375278683290749,0.592370717936807
"AT3G20820",118.193058183151,0.31862182161125,0.345331963638015,1.96000355016639,0.375310432643566,0.592370717936807
"AT4G13880",33.1173133785072,0.693708869842464,0.502118443847523,1.96053363880459,0.375210971926826,0.592370717936807
"AT4G21680",9.13957695806574,-2.17859450465519,1.57931449483877,1.95966725564131,0.375373545371386,0.592414173500813
